Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Spotlight,2015,Biography|Crime|Drama|History,English,USA,R,128,1.85,20000000,44988180,Tom McCarthy,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,195333,409,474,8.1
Steve Jobs,2015,Biography|Drama,English,UK,R,122,2.35,30000000,17750583,Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,93548,307,412,7.2
Stonewall,2015,Drama,English,USA,R,129,2.35,13500000,186354,Roland Emmerich,Jeremy Irvine,Caleb Landry Jones,Matt Craven,1758,30,74,4.5
Straight Outta Compton,2015,Biography|Crime|Drama|History|Music,English,USA,R,167,2.35,28000000,161029270,F. Gary Gray,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,119928,331,349,7.9
Strangerland,2015,Drama|Mystery|Thriller,English,Australia,R,112,2.39,10000000,,Kim Farrant,Nicholas Hamilton,Reef Ireland,Sean Keenan,5637,57,84,5.2
Stung,2015,Comedy|Horror,English,Germany,Not Rated,87,2.35,2500000,,Benni Diez,Clifton Collins Jr.,Cecilia Pillado,David Masterson,3119,23,95,5
Subconscious,2015,Action|Mystery|Thriller,English,USA,R,122,,,,Georgia Hilton,Mike Beckingham,Tim Abell,Tom Stedham,292,16,1,2.2
Survivor,2015,Action|Crime|Thriller,English,USA,PG-13,96,2.35,20000000,,James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,21833,101,64,5.6
Ted 2,2015,Comedy,English,USA,R,125,2.35,68000000,81257500,Seth MacFarlane,Liam Neeson,Morgan Freeman,Seth MacFarlane,117739,229,280,6.4
Teeth and Blood,2015,Horror,English,USA,,96,16,300000,,Al Franklin,Marshal Hilton,Steffinnie Phrommany,Clint Jung,24,2,,4.3
Terminator Genisys,2015,Action|Adventure|Sci-Fi,English,USA,PG-13,126,2.35,155000000,89732035,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,188457,867,474,6.6
The 33,2015,Biography|Drama|History,English,Chile,PG-13,127,2.35,26000000,12188642,Patricia Riggen,Marco Treviño,James Brolin,Jacob Vargas,21098,56,120,6.9
The Age of Adaline,2015,Drama|Fantasy|Romance,English,USA,PG-13,112,2.35,25000000,42478175,Lee Toland Krieger,Harrison Ford,Michiel Huisman,Ellen Burstyn,93767,209,214,7.2
The Assassin,2015,Action|Drama,Mandarin,Taiwan,Not Rated,105,1.37,15000000,613556,Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki,9427,87,205,6.4
The Big Short,2015,Biography|Comedy|Drama|History,English,USA,R,130,2.35,28000000,70235322,Adam McKay,Ryan Gosling,Christian Bale,Charlie Talbert,182983,374,426,7.8
The Boy Next Door,2015,Mystery|Thriller,English,USA,R,91,2.35,4000000,35385560,Rob Cohen,Ryan Guzman,Hill Harper,Adam Hicks,27198,131,149,4.6
The Curse of Downers Grove,2015,Drama|Horror|Mystery|Thriller,English,USA,,89,,2000000,,Derick Martini,Kevin Zegers,Bella Heathcote,Tom Arnold,1040,22,32,4.5
The Diary of a Teenage Girl,2015,Drama|Romance,English,USA,R,102,2.35,2000000,1477002,Marielle Heller,Alexander Skarsgård,David Fine,Austin Lyon,16645,72,168,6.9
The DUFF,2015,Comedy,English,USA,PG-13,101,2.35,8500000,34017854,Ari Sandel,Bella Thorne,Romany Malco,Skyler Samuels,51326,116,132,6.5
The Gallows,2015,Horror|Thriller,English,USA,R,81,1.85,100000,22757819,Travis Cluff,Pfeifer Brown,Cassidy Gifford,Reese Mishler,13521,150,159,4.2
The Gift,2015,Mystery|Thriller,English,USA,R,108,2.35,5000000,43771291,Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,79909,279,297,7.1
The Gift,2015,Mystery|Thriller,English,USA,R,108,2.35,5000000,43771291,Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,79916,279,297,7.1
The Good Dinosaur,2015,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,93,2.35,,123070338,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,62836,345,298,6.8
The Gunman,2015,Action|Crime|Drama|Mystery|Thriller,English,USA,R,115,2.35,40000000,10640645,Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca,28429,110,224,5.8
The Hateful Eight,2015,Crime|Drama|Mystery|Thriller|Western,English,USA,R,187,2.76,44000000,54116191,Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,272839,1018,596,7.9
The Horror Network Vol. 1,2015,Horror,English,USA,,97,,3000000,,Brian Dorton,Javier Botet,Brian Dorton,Jan Cornet,139,3,10,7.3
The Hunger Games: Mockingjay - Part 2,2015,Adventure|Sci-Fi,English,USA,PG-13,137,2.35,160000000,281666058,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,166137,383,389,6.6
The Intern,2015,Comedy|Drama,English,USA,PG-13,121,1.85,35000000,75274748,Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo,130661,304,241,7.2
The Last Witch Hunter,2015,Action|Adventure|Fantasy,English,USA,PG-13,106,2.35,90000000,27356090,Breck Eisner,Vin Diesel,Joseph Gilgun,Lotte Verbeek,58752,117,202,6
The Lazarus Effect,2015,Horror|Sci-Fi|Thriller,English,USA,PG-13,83,2.35,3300000,25799043,David Gelb,Olivia Wilde,Mark Duplass,Donald Glover,28513,126,152,5.2
The Little Prince,2015,Adventure|Animation|Drama|Family|Fantasy,English,France,PG,108,2.35,81200000,1339152,Mark Osborne,Jeff Bridges,James Franco,Mackenzie Foy,28276,64,119,7.8
The Longest Ride,2015,Drama|Romance,English,USA,PG-13,128,2.35,34000000,37432299,George Tillman Jr.,Tiago Riani,Melissa Benoist,Hayley Lovitt,50041,116,117,7.1
The Looking Glass,2015,Drama|Music,English,USA,,110,,,1711,John D. Hancock,Trish Basinger,Elizabeth Stenholt,Mary Norwood,82,1,4,6.6
The Lovers,2015,Action|Adventure|Romance|Sci-Fi,English,Belgium,R,109,,,,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,2138,15,10,4.5
The Lovers,2015,Action|Adventure|Romance|Sci-Fi,English,Belgium,R,109,,,,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,2138,15,10,4.5
The Man from U.N.C.L.E.,2015,Action|Adventure|Comedy,English,USA,PG-13,116,2.35,75000000,45434443,Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,175960,360,362,7.3
The Marine 4: Moving Target,2015,Action|Thriller,English,USA,R,90,1.78,1950000,,William Kaufman,Paul McGillion,Mike 'The Miz' Mizanin,David Lewis,2032,15,23,5.2
The Martian,2015,Adventure|Drama|Sci-Fi,English,USA,PG-13,151,2.35,108000000,228430993,Ridley Scott,Matt Damon,Donald Glover,Benedict Wong,472488,1023,568,8.1
The Peanuts Movie,2015,Adventure|Animation|Comedy|Family,English,USA,G,88,1.85,99000000,130174897,Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,27918,155,208,7.2
The Revenant,2015,Adventure|Drama|Thriller|Western,English,USA,R,156,2.35,135000000,183635922,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,406020,1188,556,8.1
The Ridiculous 6,2015,Comedy|Western,English,USA,TV-14,119,2.35,,,Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,27019,143,53,4.9
The Rise of the Krays,2015,Crime|Drama,English,UK,R,110,,2500000,,Zackary Adler,Simon Merrells,Kevin Leslie,Kris Sommerville,1510,26,10,5
The Scorch Trials,2015,Action|Sci-Fi|Thriller,English,USA,PG-13,132,2.35,61000000,81687587,Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,138246,360,249,6.4
The Second Best Exotic Marigold Hotel,2015,Comedy|Drama,English,UK,PG,122,2.35,10000000,33071558,John Madden,Tina Desai,Celia Imrie,Ronald Pickup,22369,100,158,6.6
The Second Mother,2015,Comedy|Drama,Portuguese,Brazil,R,112,2.35,4000000,375723,Anna Muylaert,Alex Huszar,Regina Casé,Luis Miranda,7025,26,111,7.9
The SpongeBob Movie: Sponge Out of Water,2015,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,92,1.85,74000000,162495848,Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,34359,133,147,6
The Timber,2015,Adventure|Drama|Western,English,USA,,81,2.35,2100000,,Anthony O'Brien,James Ransone,Maria Doyle Kennedy,Shaun O'Hagan,1274,17,19,5.5
The Transporter Refueled,2015,Action|Crime|Thriller,English,France,PG-13,96,2.35,25000000,16027866,Camille Delamarre,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,26767,121,148,5.1
The Vatican Tapes,2015,Horror|Thriller,English,USA,PG-13,91,1.85,8495000,1712111,Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott,7199,53,93,4.5
The Visit,2015,Horror|Thriller,English,USA,PG-13,94,1.85,5000000,65069140,M. Night Shyamalan,Ocean James,Patch Darragh,Olivia DeJonge,65299,455,371,6.2
The Walk,2015,Adventure|Biography|Drama|Thriller,English,USA,PG,123,2.35,35000000,10137502,Robert Zemeckis,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,77394,195,335,7.4
The Walking Deceased,2015,Comedy|Horror,English,USA,R,88,,1250000,,Scott Dow,Trenton Rostedt,Wray Crawford,Dave Sheridan,2348,25,23,3.4
The Wicked Within,2015,Horror,English,USA,R,84,,1200000,,Jay Alaimo,William McNamara,Sabrina Carmichael,Patrick Muldoon,742,7,9,4.6
The Witch,2015,Horror|Mystery,English,USA,R,92,1.66,3500000,25138292,Robert Eggers,Julian Richings,Kate Dickie,Ralph Ineson,66483,452,425,6.8
The World Is Mine,2015,Drama,Romanian,Romania,,104,,168000,,Nicolae Constantin Tanase,Iulia Ciochina,Ana Maria Guran,Ana Vatamanu,354,1,5,6.5
They Will Have to Kill Us First,2015,Documentary,French,UK,,105,,400000,,Johanna Schwartz,Aliou Touré,Garba Touré,Khaira Arby,74,2,22,7.7
Time to Choose,2015,Documentary,English,USA,,100,,3500000,29233,Charles Ferguson,Jane Goodall,Jerry Brown,Peter Agnefjall,75,2,6,7
"To Be Frank, Sinatra at 100",2015,Documentary,English,UK,,81,,2000000,,Simon Napier-Bell,Alice Cooper,Tim Rice,Louis Walsh,7,,,7.4
Tomorrowland,2015,Action|Adventure|Family|Mystery|Sci-Fi,English,USA,PG,130,2.2,190000000,93417865,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,128306,497,443,6.5
Top Cat Begins,2015,Animation|Family,Spanish,Mexico,PG,89,,8000000,,Andrés Couturier,Sariann Monaco,David Hoffman,Ben Diskin,230,1,3,4.4
Trainwreck,2015,Comedy|Romance,English,Japan,R,129,2.35,35000000,110008260,Judd Apatow,Amy Schumer,Randall Park,Josh Segarra,94241,309,332,6.3
Unfinished Business,2015,Comedy,English,USA,R,91,2.35,35000000,10214013,Ken Scott,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,23072,89,90,5.4
Unnatural,2015,Action|Horror|Thriller,English,USA,R,89,2.35,3000000,,Hank Braxtan,Q'orianka Kilcher,Gregory Cruz,Allegra Carpenter,859,17,14,4
Vaalu,2015,Comedy|Romance,Tamil,India,,155,,150000000,,Vijay Chandar,Hansika Motwani,T.R. Silambarasan,Brahmanandam,563,6,3,5.1
Vacation,2015,Adventure|Comedy,English,USA,R,99,2.35,31000000,58879132,John Francis Daley,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,66123,219,204,6.1
Victor Frankenstein,2015,Drama|Horror|Sci-Fi|Thriller,English,USA,PG-13,110,2.35,40000000,5773519,Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,28618,91,159,6
Victor Frankenstein,2015,Drama|Horror|Sci-Fi|Thriller,English,USA,PG-13,110,2.35,40000000,5773519,Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,28618,91,159,6
Victor Frankenstein,2015,Drama|Horror|Sci-Fi|Thriller,English,USA,PG-13,110,2.35,40000000,5773519,Paul McGuigan,Daniel Radcliffe,Spencer Wilding,Daniel Mays,28621,91,159,6
Walter,2015,Comedy|Drama,English,USA,,94,,700000,,Anna Mastro,Leven Rambin,Justin Kirk,Virginia Madsen,1432,19,10,5.3
We Are Your Friends,2015,Drama|Music|Romance,English,UK,R,96,1.85,2000000,3590010,Max Joseph,Vanessa Lengies,Emily Ratajkowski,Jonny Weston,20885,60,158,6.1
Western Religion,2015,Adventure|Drama|Fantasy|Thriller|Western,English,USA,,105,,250000,,James O'Brien,Mark Fantasia,Vivian Lamolli,Greg Jackson,146,4,5,4
Wild Card,2015,Action|Crime|Drama|Thriller,English,USA,R,92,2.35,30000000,,Simon West,Jason Statham,Michael Angarano,Jason Alexander,36487,114,130,5.6
Wind Walkers,2015,Action|Horror|Thriller,English,USA,R,93,,2000000,,Russell Friedenberg,Rudy Youngblood,Glen Powell,Kiowa Gordon,133,2,27,3.6
Windsor Drive,2015,Mystery|Thriller,English,USA,,90,,100000,,Natalie Bible',Tommy O'Reilly,Samaire Armstrong,Matt Cohen,169,6,7,3.2
Woman in Gold,2015,Biography|Drama|History,English,UK,PG-13,109,2.35,11000000,33305037,Simon Curtis,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,33856,147,203,7.3
Zipper,2015,Drama|Thriller,English,USA,R,103,2.35,4500000,,Mora Stephens,Ray Winstone,Alexandra Breckenridge,Elena Satine,4091,20,35,5.7
10 Cloverfield Lane,2016,Drama|Horror|Mystery|Sci-Fi|Thriller,English,USA,PG-13,104,2.35,15000000,71897215,Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,126893,440,411,7.3
13 Hours,2016,Action|Drama|Thriller|War,English,USA,R,144,2.35,50000000,52822418,Michael Bay,Toby Stephens,James Badge Dale,David Costabile,47764,219,204,7.4
A Beginner's Guide to Snuff,2016,Comedy|Horror|Thriller,English,USA,,87,,,,Mitchell Altieri,Kimberley Crossman,Luke Edwards,Bree Williamson,13,,,8.7
Airlift,2016,Action|Drama|History|Thriller|War,Hindi,India,,130,2.35,4400000,,Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,30977,178,39,8.5
Alice Through the Looking Glass,2016,Adventure|Family|Fantasy,English,USA,PG,113,1.85,170000000,76846624,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,21352,131,218,6.4
Allegiant,2016,Action|Adventure|Mystery|Sci-Fi|Thriller,English,USA,PG-13,120,2.35,110000000,66002193,Robert Schwentke,Naomi Watts,Theo James,Zoë Kravitz,44296,144,181,5.8
Alleluia! The Devil's Carnival,2016,Horror|Musical,English,USA,,97,1.78,500000,,Darren Lynn Bousman,Paul Sorvino,Barry Bostwick,Terrance Zdunich,259,20,10,7.4
Antibirth,2016,Horror,English,USA,,94,,3500000,,Danny Perez,Natasha Lyonne,Emmanuel Kabongo,Mark Webber,63,2,10,6.3
Bad Moms,2016,Comedy,English,USA,R,100,,20000000,55461307,Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,4654,46,81,6.7
Bad Moms,2016,Comedy,English,USA,R,100,,20000000,55461307,Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,4654,46,81,6.7
Batman v Superman: Dawn of Justice,2016,Action|Adventure|Sci-Fi,English,USA,PG-13,183,2.35,250000000,330249062,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,371639,3018,673,6.9
Ben-Hur,2016,Adventure|Drama|History,English,USA,PG-13,141,2.35,,,Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,57,1,1,6.1
Ben-Hur,2016,Adventure|Drama|History,English,USA,PG-13,141,2.35,100000000,,Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,62,1,1,6.1
Ben-Hur,2016,Adventure|Drama|History,English,USA,PG-13,141,2.35,100000000,,Timur Bekmambetov,Morgan Freeman,Ayelet Zurer,Moises Arias,67,1,1,6
Cabin Fever,2016,Horror,English,USA,Not Rated,99,,,,Travis Zariwny,Dustin Ingram,Gage Golightly,Samuel Davis,3313,40,68,3.7
Captain America: Civil War,2016,Action|Adventure|Sci-Fi,English,USA,PG-13,147,2.35,250000000,407197282,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,272670,1022,516,8.2
Central Intelligence,2016,Action|Comedy|Crime,English,USA,PG-13,107,2.35,50000000,126088877,Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,33354,110,177,6.6
Code of Honor,2016,Action,English,USA,R,106,,8000000,,Michael Winnick,Scott Takeda,Helena Mattsson,Craig Sheffer,662,14,15,4.2
Compadres,2016,Action|Comedy,English,Mexico,R,101,,3000000,3105269,Enrique Begne,Kevin Pollak,Héctor Jiménez,Erick Elias,368,8,5,5
Criminal,2016,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,English,UK,R,113,2.35,31500000,14268533,Ariel Vromen,Gary Oldman,Jordi Mollà,Doug Cockle,17319,100,130,6.3
Deadpool,2016,Action|Adventure|Comedy|Romance|Sci-Fi,English,USA,R,108,2.35,58000000,363024263,Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,479047,1058,579,8.1
Dirty Grandpa,2016,Comedy,English,USA,R,109,2.35,11500000,35537564,Dan Mazer,Robert De Niro,Zoey Deutch,Jason Mantzoukas,49671,166,158,6
Eddie the Eagle,2016,Biography|Comedy|Drama|Sport,English,UK,PG-13,106,2.35,23000000,15785632,Dexter Fletcher,Hugh Jackman,Taron Egerton,Tim McInnerny,32507,119,216,7.5
Eddie the Eagle,2016,Biography|Comedy|Drama|Sport,English,UK,PG-13,106,2.35,23000000,15785632,Dexter Fletcher,Hugh Jackman,Taron Egerton,Tim McInnerny,32513,119,216,7.5
Fifty Shades of Black,2016,Comedy,English,USA,R,92,,5000000,11675178,Michael Tiddes,Fred Willard,Mike Epps,Russell Peters,9509,53,59,3.5
Fight to the Finish,2016,Action|Romance|Sport,English,USA,PG-13,94,,150000,,Warren Sheppard,Jennifer Hale,Randy Jay Burrell,Vincent De Paul,60,2,3,4
Fight Valley,2016,Action|Drama,English,USA,,90,,27000000,,Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,60,6,6,5
Florence Foster Jenkins,2016,Biography|Comedy|Drama|Music|Romance,English,UK,PG-13,110,2.35,29000000,,Stephen Frears,Meryl Streep,Nina Arianda,John Sessions,2167,32,87,7.1
Free State of Jones,2016,Action|Biography|Drama|History|War,English,USA,R,139,1.85,50000000,20389967,Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,3077,47,79,6.7
Ghostbusters,2016,Action|Comedy|Fantasy|Sci-Fi,English,USA,PG-13,116,2.35,144000000,118099659,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,69757,1211,464,5.5
Ghostbusters,2016,Action|Comedy|Fantasy|Sci-Fi,English,USA,PG-13,116,2.35,144000000,118099659,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,69790,1211,464,5.5
God's Not Dead 2,2016,Drama,English,USA,PG,120,2.35,5000000,20773070,Harold Cronk,Benjamin A. Onyango,Robin Givens,Maria Canals-Barrera,4501,102,29,3.4
Gods of Egypt,2016,Action|Adventure|Fantasy,English,USA,PG-13,126,2.35,140000000,31141074,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,51892,273,184,5.5
Godzilla Resurgence,2016,Action|Adventure|Drama|Horror|Sci-Fi,Japanese,Japan,,120,2.35,,,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,374,13,1,8.2
Godzilla Resurgence,2016,Action|Adventure|Drama|Horror|Sci-Fi,Japanese,Japan,,120,2.35,,,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,374,13,1,8.2
"Hail, Caesar!",2016,Comedy|Mystery,English,UK,PG-13,106,1.85,22000000,29997095,Ethan Coen,Scarlett Johansson,Channing Tatum,Alden Ehrenreich,60926,302,423,6.4
Hands of Stone,2016,Action|Biography|Drama|Sport,English,Panama,R,105,,20000000,,Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,178,1,,7.2
How to Be Single,2016,Comedy|Romance,English,USA,R,110,2.35,38000000,46813366,Christian Ditter,Alison Brie,Damon Wayans Jr.,Nicholas Braun,39440,83,148,6.1
I Am Wrath,2016,Action|Crime|Drama|Thriller,English,USA,R,92,,18000000,,Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,4510,50,23,5.2
Independence Day: Resurgence,2016,Action|Adventure|Sci-Fi,English,USA,PG-13,120,2.35,165000000,102315545,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,58137,520,286,5.5
Indignation,2016,Drama,Hebrew,USA,R,110,2,,560512,James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,550,3,63,7.8
Irreplaceable,2016,Comedy|Drama,French,France,,102,,,,Thomas Lilti,François Cluzet,Félix Moati,Marianne Denicourt,389,1,18,7.2
Jane Got a Gun,2016,Action|Drama|Western,English,USA,R,98,2.35,25000000,1512815,Gavin O'Connor,Natalie Portman,Noah Emmerich,Boyd Holbrook,8885,56,123,5.8
Jason Bourne,2016,Action|Thriller,English,UK,PG-13,123,2.35,120000000,108521835,Paul Greengrass,Matt Damon,Riz Ahmed,Ato Essandoh,40123,297,267,7.1
Keanu,2016,Action|Comedy,English,USA,R,100,2.35,15000000,20566327,Peter Atencio,Nia Long,Will Forte,Keegan-Michael Key,15385,84,129,6.4
Kickboxer: Vengeance,2016,Action,,USA,,90,,17000000,,John Stockwell,Matthew Ziff,T.J. Storm,Sam Medina,246,1,2,9.1
Kicks,2016,Adventure,English,USA,R,80,,,,Justin Tipping,Tina Gilton,Natalie Stephany Aguilar,Justin Hall,59,6,6,7.8
Kung Fu Panda 3,2016,Action|Adventure|Animation|Comedy|Family,English,USA,PG,95,2.35,145000000,143523463,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,64322,145,210,7.2
Lights Out,2016,Horror,English,USA,PG-13,81,2.35,4900000,56536016,David F. Sandberg,Billy Burke,Amiah Miller,Gabriel Bateman,13523,95,159,6.9
London Has Fallen,2016,Action|Crime|Drama|Thriller,English,UK,R,99,2.35,60000000,62401264,Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,69484,323,225,5.9
Me Before You,2016,Drama|Romance,English,UK,PG-13,110,2.35,20000000,56154094,Thea Sharrock,Sam Claflin,Emilia Clarke,Brendan Coyle,44723,130,151,7.6
Midnight Special,2016,Adventure|Drama|Sci-Fi|Thriller,English,Greece,PG-13,112,2.35,18000000,3707794,Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,31359,156,263,6.7
Miracles from Heaven,2016,Drama,English,USA,PG,109,1.85,13000000,61693523,Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,6276,55,63,6.8
Misconduct,2016,Drama|Thriller,English,USA,R,106,2.35,11000000,,Shintaro Shimosawa,Al Pacino,Anthony Hopkins,Glen Powell,6935,50,38,5.3
Money Monster,2016,Crime|Drama|Thriller,English,USA,R,98,2.35,27000000,41008532,Jodie Foster,Julia Roberts,Jack O'Connell,Chris Bauer,19611,103,268,6.7
Mr. Church,2016,Drama,English,USA,PG-13,104,2.35,8000000,,Bruce Beresford,Mckenna Grace,Lucy Fry,Natalie Coughlin,63,5,5,8
My Big Fat Greek Wedding 2,2016,Comedy|Family|Romance,English,USA,PG-13,94,2.35,18000000,59573085,Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,13562,103,156,6.1
Neighbors 2: Sorority Rising,2016,Comedy,English,USA,R,92,2.35,35000000,55291815,Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,28041,111,177,6
Nerve,2016,Adventure|Crime|Mystery|Sci-Fi|Thriller,English,USA,PG-13,96,,20000000,28876924,Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,4303,35,86,7.1
Now You See Me 2,2016,Action|Adventure|Comedy|Crime|Mystery|Thriller,English,USA,PG-13,129,2.35,90000000,64685359,Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,40862,139,196,6.9
Operation Chromite,2016,Action|Drama|History|War,English,South Korea,,115,,12620000,31662,John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,90,1,2,6.8
Our Kind of Traitor,2016,Thriller,English,UK,R,108,2.35,,3108216,Susanna White,Radivoje Bukvic,Pawel Szajda,Grigoriy Dobrygin,2587,21,134,6.4
Pete's Dragon,2016,Adventure|Family|Fantasy,English,USA,PG,102,2.35,65000000,,David Lowery,Bryce Dallas Howard,Oona Laurence,Isiah Whitlock Jr.,408,6,78,7.3
Pride and Prejudice and Zombies,2016,Action|Horror|Romance,English,USA,PG-13,108,2.35,28000000,10907291,Burr Steers,Matt Smith,Bella Heathcote,Sam Riley,23775,134,225,5.8
Race,2016,Biography|Drama|Sport,English,Canada,PG-13,134,2.35,,19097994,Stephen Hopkins,William Hurt,Tony Curran,David Kross,11744,49,125,7.1
Restoration,2016,Horror,English,USA,,92,,,,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,436,6,15,4
Ride Along 2,2016,Action|Comedy,English,USA,PG-13,102,2.35,40000000,90835030,Tim Story,Olivia Munn,Nadine Velazquez,Bruce McGill,28621,58,119,5.9
